,lat,lon,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,CEC topsoil,CEC clay topsoil,CaCO3 % topsoil,C/N topsoil,C/N subsoil,PSurf_Winter,PSurf_Spring,PSurf_Summer,PSurf_Fall,Qair_Winter,Qair_Spring,Qair_Summer,Qair_Fall,Tair_Winter,Tair_Spring,Tair_Summer,Tair_Fall,Wind_Winter,Wind_Spring,Wind_Summer,Wind_Fall,Rainf_Winter,Rainf_Spring,Rainf_Summer,Rainf_Fall
0,-8.25,27.25,51.8,26.09,22.11,7.22,0.583,0.336,0.063,12.58,57.1,5.46,9.8,9.9,89884.1650139652,89829.3462239011,89991.36878434065,89822.73415018315,0.016891206461452563,0.014423574706547567,0.007427007167261862,0.01542679549473437,296.2207628256639,296.57397325549454,295.89701138278383,297.5369622115385,1.1944936657320286,1.8688725975183151,2.5196902292902927,1.4898552838690478,6.228977689016712e-05,3.9105292232597434e-05,5.18075836996337e-07,4.046271557829524e-05
1,-8.25,27.75,58.06,22.85,19.09,7.87,0.501,0.288,0.06,9.98,57.8,18.23,10.3,10.8,88152.16148116985,88124.49851602563,88294.12160073261,88103.71962362637,0.01602073999021286,0.013602608753708747,0.006892545659523761,0.014206301471245377,294.98384583276095,295.37688729395603,294.63715674450543,296.4652780448718,1.4164525197184061,2.5158949620879123,3.297055134033883,1.825033172298535,6.7286521336362e-05,4.008878780218754e-05,5.186039528388279e-07,4.141930013071428e-05
2,-8.25,28.25,58.06,22.85,19.09,7.87,0.501,0.288,0.06,9.98,57.8,18.23,10.3,10.8,89187.87076894459,89173.99000045787,89373.76122664833,89132.42268681318,0.016568157823202787,0.01449403072834243,0.007853861029807646,0.01461267320082413,295.61784834077383,295.9723962957875,295.1366825915751,297.20063069597074,1.2447458505334252,2.150481709656593,2.9118741120741762,1.6428357057829674,6.800387155596795e-05,4.0335977467942124e-05,2.593019876373626e-07,3.837857607165421e-05
3,-8.25,28.75,52.21,23.23,24.58,7.39,0.678,0.405,0.113,10.87,56.7,8.54,10.3,10.8,89644.3068351076,89645.08019688645,89860.56737912088,89582.82494688645,0.016519303294041856,0.015145729804716086,0.009170688791025599,0.014641697795100685,295.8199966540751,296.19338875,295.2055774267399,297.4736698992674,1.2023803684632552,1.8774567204624544,2.5178098618452385,1.5545767812454214,7.036407975937069e-05,4.0373594982139194e-05,1.2978329120879123e-07,3.624727546702491e-05
4,-7.75,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92965.963620364,92893.65871291209,93029.82279029304,92887.67295283881,0.01814810983390563,0.01585982461630032,0.007725216713736224,0.016744745101465147,297.7142885027472,298.3093913690476,297.8725512179486,299.033939551282,1.080200380076122,1.5829510533745423,2.453489213250916,1.3361652524130039,6.341133661200302e-05,3.849568475091099e-05,9.06632793040293e-07,3.9314025799450545e-05
5,-7.75,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91882.55219127747,91817.46160302196,91959.4634684066,91814.14611630036,0.01802349812912082,0.01527558343415746,0.007282451835805798,0.0163485014306776,297.4079980431548,297.9832840613553,297.43773736263734,298.80051587454216,1.144177074752175,2.024034416941392,3.0151483739514657,1.389981351735348,6.519436708195531e-05,3.79795448626348e-05,5.180759029304029e-07,3.848152053754212e-05
6,-7.75,28.25,58.06,22.85,19.09,7.87,0.501,0.288,0.06,9.98,57.8,18.23,10.3,10.8,91826.56020106454,91774.51537957878,91937.9618804945,91757.12083150183,0.017394764161687223,0.01512746577165746,0.007776545820054893,0.015783146860943183,296.8414117691163,297.31034436813184,296.63934207417583,298.3366963690476,1.1693062892164607,1.9388995444917585,2.882163630380037,1.3642843526556778,6.513672909007527e-05,4.099001270672418e-05,3.885569304029304e-07,3.733240421565897e-05
7,-7.75,28.75,58.3,20.95,20.75,7.65,0.635,0.32,0.08,10.1,57.0,13.05,10.5,10.0,88773.23534958789,88756.39477014652,88917.14828067768,88716.52898901097,0.016244961192679677,0.014954679084477968,0.008502645962179438,0.014730484534432193,295.38609350331967,295.79427233058607,294.97180987179485,296.9404766575092,1.2252666962019232,1.75207958492674,2.4804428290201463,1.424583361721612,6.65740385862325e-05,4.548763425227875e-05,3.8895298901098897e-07,3.824246187247509e-05
8,-7.75,29.25,30.28,42.28,27.52,8.14,0.668,0.28,0.078,19.34,55.8,15.4,10.2,10.6,85750.04957486264,85761.04105128205,85910.57185805861,85706.9121886447,0.015318405095094963,0.014730612204899221,0.008667105889239886,0.013676505490521932,294.1312286349588,294.34162490842493,293.5493283241758,295.70162233516487,1.3209474855259844,1.6988003561492677,2.2225045171336997,1.5664695223534797,6.859588852906776e-05,4.753766597480697e-05,3.8895301968864477e-07,3.7338448525641026e-05
9,-7.25,26.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91772.57464583333,91706.71797344323,91845.059875,91701.42030860807,0.01753190145318219,0.015591050649725222,0.007893149050869916,0.016098532115201434,297.0156242050138,297.6886000457875,297.5387018452381,298.1565638095238,1.044736823655449,1.523211268889652,2.119925973470696,1.3950437777609892,6.751300696284239e-05,4.0607912996108057e-05,1.6769163507326007e-06,4.5325014244043225e-05
